"The use frequencies (per billion words) of morbilli (English corpus), rubeola (English corpus), rubella (English corpus), Rötheln (German corpus), and German measles (English corpus) have been retrieved from the Google Books Ngram Corpus (GBNC) from 1500 to 2019, respectively. ",,,,,
Year,German measles,Morbilli,Rubeola,Rubella,Rötheln (in German)
1741,0,12.434,0,5.94,81.5776
1742,0,12.434,0,5.94,43.6725
1743,0,6.9216,0,5.94,43.6725
1744,0,0,0,5.94,67.1057
1745,0,0,0,5.94,67.1057
1746,0,0,0,5.94,23.4332
1747,0,0,0,5.94,23.4332
1748,0,7.2795,0,0,23.4332
1749,0,7.2795,0,0,31.7016
1750,0,7.2795,0,0,31.7016
1751,0,7.2795,0,0,8.2684
1752,0,7.2795,0,0,8.2684
1753,0,7.2795,0,10.06,8.2684
1754,0,7.2795,0,10.06,15.6603
1755,0,0,0,10.06,15.6603
1756,0,0,0,10.06,31.1248
1757,0,0,0,10.06,31.1248
1758,0,0,0,10.06,31.1248
1759,0,0,0,10.06,31.1248
1760,0,0,0,0,39.7631
1761,0,0,0,0,32.3711
1762,0,2.6826,0,0,32.3711
1763,0,2.6826,0,0,60.8113
1764,0,5.4933,0,0,60.8113
1765,0,5.4933,0,0,60.8113
1766,0,5.4933,0,0,60.8113
1767,0,5.4933,0,0,61.8875
1768,0,5.4933,0,0,61.8875
1769,0,21.0882,3.0463,0,61.8875
1770,0,21.0882,3.0463,0,14.6514
1771,0,18.2776,3.0463,0,50.2155
1772,0,18.2776,3.0463,0,50.2155
1773,0,18.2776,3.0463,0,55.1035
1774,0,18.2776,3.0463,0,45.389
1775,0,18.2776,3.0463,0,45.389
1776,0,0,0,0,58.6313
1777,0,11.6722,0,0,68.2336
1778,0,14.4533,5.5623,0,36.0451
1779,0,14.4533,5.5623,0,39.6203
1780,0,14.4533,5.5623,0,34.7323
1781,0,14.4533,5.5623,0,39.8739
1782,0,14.4533,5.5623,0,44.6953
1783,0,14.4533,5.5623,0,36.5635
1784,0,2.7811,5.5623,0,46.6976
1785,0,4.8544,9.7087,0,45.9749
1786,0,4.8544,9.7087,8.04,48.3275
1787,0,6.1435,9.7087,9.33,48.3275
1788,0,6.1435,11.0153,9.33,69.8773
1789,0,7.3069,11.0153,9.33,115.8875
1790,0,7.3069,12.1201,9.33,119.5685
1791,0,7.3069,12.1201,9.33,96.9223
1792,0,2.4525,2.4114,9.33,96.4301
1793,0,3.4385,2.4114,1.29,165.6278
1794,0,2.1494,2.4114,0,169.7376
1795,0,2.1494,1.1048,0,149.5877
1796,0,2.8823,1.1048,0,119.3841
1797,0,5.717,1.1338,0,161.6749
1798,0,6.2956,1.7125,1.16,184.8679
1799,0,6.8964,4.7164,1.16,223.3349
1800,0,6.322,11.303,1.57,323.5007
1801,0,8.6437,15.9464,6.68,341.955
1802,0,12.1167,20.7218,10.15,392.1375
1803,0,13.7304,26.3378,10.15,411.5523
1804,0,13.0313,41.9832,12.59,402.4299
1805,0,12.972,45.2997,11.43,458.8268
1806,0,12.8884,52.3793,11.95,509.5556
1807,0,15.1966,51.2324,13.63,406.4306
1808,0,13.1103,49.4134,8.99,515.958
1809,0,9.6372,47.5328,7.15,808.7769
1810,0,6.999,44.75,7.8,866.0198
1811,0,6.2697,35.471,7.71,968.2709
1812,0,5.9891,35.1565,13.44,991.0098
1813,0,5.666,26.2369,14.08,1055.3679
1814,0,4.1999,25.8121,17.42,1108.7573
1815,0,5.3165,27.6231,34.72,1057.9828
1816,0,7.7887,44.126,37.85,727.6235
1817,0,10.0012,53.6298,46.79,715.9368
1818,0,10.0272,52.2167,52.14,830.6268
1819,0,10.9909,53.7462,48.22,781.1447
1820,0,11.6813,60.3944,48.68,719.1824
1821,0,11.5845,60.5215,51.98,683.208
1822,0,10.3573,61.376,38.83,664.8049
1823,0,8.0255,46.0518,35.34,752.2744
1824,0,6.4166,38.1407,28.43,733.5139
1825,0,6.5037,39.0175,24.02,551.529
1826,0,6.7233,44.4537,24.11,632.5733
1827,0,6.9892,44.589,28.56,603.9382
1828,0.211,6.1632,46.2873,22.57,703.3369
1829,3.0355,6.3898,44.9436,26.32,745.0289
1830,3.0355,7.0118,56.8814,30.39,717.1639
1831,3.5686,7.0228,66.947,30.59,811.7961
1832,8.4531,6.0143,70.9673,30.28,894.9978
1833,8.4531,4.9222,71.3081,30.53,911.5947
1834,8.4531,4.6025,70.67,26.95,1002.4023
1835,10.2449,4.7742,85.1106,30.48,935.5798
1836,7.4204,4.7982,90.0468,24.37,891.9189
1837,7.4204,6.0492,85.3421,21.2,901.0556
1838,6.8873,7.4633,82.4521,20.92,845.356
1839,2.0028,8.7711,85.26,19.22,811.2925
1840,2.0028,9.1971,87.676,18.36,736.4751
1841,2.0028,9.2062,99.4706,19.3,656.4056
1842,0.0581,11.8659,101.786,15.21,608.3016
1843,0.0581,12.0152,102.1463,16.3,584.5429
1844,0.0581,14.209,114.8817,17.34,604.1877
1845,0.0581,13.6445,116.2275,20.41,552.9196
1846,0.8687,12.0214,111.8923,22.58,527.5599
1847,0.9266,12.6595,107.8618,27.36,471.6259
1848,1.1878,12.9135,102.922,28.47,449.0394
1849,1.1297,10.7722,97.7583,28.91,408.7617
1850,1.1297,10.5324,96.8126,27.04,404.6002
1851,1.1297,6.7429,82.8922,28.71,318.9244
1852,1.178,5.4183,81.6752,25.26,295.2551
1853,0.5516,7.7321,85.393,25.28,216.2212
1854,0.59,8.2573,96.5737,24.32,208.5723
1855,0.3289,9.2111,103.5677,24.61,190.064
1856,0.3289,10.675,100.492,28.29,175.5516
1857,0.3289,10.9196,98.7818,35.1,156.6966
1858,0.3289,14.3036,107.0359,38,162.2461
1859,0.3387,15.1812,109.8678,41.01,152.9197
1860,0.1544,14.3796,119.0782,41.75,157.5453
1861,0.0581,13.7597,114.6672,48.23,159.3088
1862,0.0581,12.9379,132.6789,48.8,139.124
1863,0.1491,21.194,138.4221,54.57,139.3363
1864,0.1491,23.2548,159.7039,50.76,167.4896
1865,0.2334,22.5488,166.7144,48.56,164.2159
1866,0.1754,23.6683,165.3357,48.01,221.1423
1867,0.8344,27.9237,164.2974,50.63,236.012
1868,2.0728,31.9123,163.043,49.67,274.0658
1869,2.4874,35.0805,138.8761,49.65,317.8106
1870,3.1609,26.4091,133.1923,44.03,334.3106
1871,6.755,27.4707,116.5255,43.57,367.0439
1872,11.8996,26.9139,119.8056,43.57,384.5163
1873,15.1323,26.3241,118.5979,43.56,329.4644
1874,15.9116,21.8312,107.2656,45.75,388.4871
1875,18.3395,19.3916,101.9048,38.54,362.9367
1876,20.1878,16.5308,99.4747,38.14,332.8665
1877,21.918,17.1525,95.9769,38.95,321.5871
1878,28.2714,16.9478,114.0024,38.09,280.0013
1879,30.3508,17.6558,99.5461,38.81,277.894
1880,31.9999,23.8206,103.948,39.75,283.8798
1881,37.319,28.0321,108.9901,36.66,210.6583
1882,42.227,30.2722,114.828,40.12,215.9268
1883,49.2547,32.3045,118.8304,41.15,254.7338
1884,52.8539,31.7795,118.8722,49.9,268.5282
1885,47.1022,30.4801,98.6741,53.33,298.675
1886,47.2177,29.7161,95.5273,57.77,289.8713
1887,47.1483,23.8408,89.2914,59.47,371.0602
1888,44.6527,21.8044,81.3093,59.26,398.1079
1889,43.9173,18.9406,75.0472,61.34,403.3272
1890,41.7244,18.714,68.4637,69.81,394.3149
1891,41.498,19.1339,63.5192,63.8,384.5416
1892,43.7957,19.3007,59.8852,68.92,350.5314
1893,43.0139,19.0778,57.1936,70.66,344.0809
1894,46.8289,17.7394,53.6353,77.01,253.935
1895,55.2434,16.2534,53.7587,87.91,231.52
1896,58.4969,16.7809,49.7949,88.63,220.0051
1897,66.2057,16.5999,46.7136,90.08,206.9589
1898,72.3635,18.1085,45.903,104.62,218.2651
1899,80.7958,18.526,46.2271,122.98,209.1648
1900,85.1383,17.4948,43.313,124.66,200.3475
1901,88.1334,19.2954,41.9221,126.56,186.8442
1902,86.1666,20.0286,40.7675,126.9,161.3235
1903,84.0757,18.4242,39.4743,128.8,138.2912
1904,80.6188,16.6137,37.5735,129.41,96.3669
1905,81.1256,13.8303,34.3415,129.08,58.3408
1906,83.0684,12.5256,30.3769,115.25,39.5303
1907,88.4868,14.0217,29.5783,114.96,26.989
1908,97.116,12.3748,27.1445,111.38,20.6191
1909,109.3251,10.6122,23.5677,106.5,15.8089
1910,128.8844,11.2827,22.0396,107,11.8603
1911,145.9429,11.0254,18.5953,101.76,9.8981
1912,162.7448,12.0349,17.7699,86.86,8.1198
1913,184.705,12.4233,18.2742,82.16,6.7893
1914,196.3536,10.8092,15.9249,80.76,3.8675
1915,216.9778,11.7882,16.3381,88.54,4.0323
1916,236.5303,12.3289,16.0689,94.35,2.7735
1917,244.0828,12.452,15.9042,97.9,2.3999
1918,236.1664,13.4181,16.8409,100.93,2.694
1919,228.6052,12.1203,16.6535,109.32,2.7777
1920,214.5761,10.9773,15.5632,108.16,3.0675
1921,214.7822,10.6254,13.9285,106.22,3.0675
1922,198.6882,8.92,11.7952,104.27,3.4226
1923,172.7763,8.6488,10.5797,94.57,4.4904
1924,155.7959,7.8798,9.9188,89.31,5.0731
1925,159.8126,7.0887,8.843,87.16,3.8041
1926,154.6002,8.2207,8.6018,86.7,3.5011
1927,147.5479,9.094,7.7559,91.04,9.9288
1928,139.139,10.0229,7.7427,85.88,10.6863
1929,131.2153,9.7569,7.7409,76.07,9.6288
1930,134.1555,8.6297,7.5756,83.2,9.421
1931,135.0841,8.4281,7.4165,82.08,9.9639
1932,132.367,8.2267,7.1014,77.31,9.8265
1933,137.0659,6.3963,6.4015,69.18,9.8265
1934,139.123,5.6814,7.0019,69.47,2.9275
1935,137.2848,4.9713,7.9405,73.94,4.2242
1936,134.432,6.22,8.4113,75.85,4.2242
1937,132.4746,6.9127,8.8063,73.08,3.3643
1938,129.2318,6.4424,8.6827,73.33,2.2387
1939,128.0259,5.7519,9.2892,78.58,2.95
1940,129.0061,6.4592,9.5595,80.1,4.5282
1941,135.6867,7.7239,10.4493,100.73,4.3438
1942,141.0419,7.9417,10.5929,117.66,2.2895
1943,151.2337,6.9129,10.8231,138.69,5.3062
1944,155.6957,7.845,12.7605,172.76,5.6978
1945,160.3942,8.4521,13.8471,201.6,6.0051
1946,162.8119,9.055,15.8528,226.78,6.026
1947,158.1879,9.1161,17.4275,270.3,4.6433
1948,149.7105,7.6528,18.2528,262.1,4.6433
1949,147.1703,8.1068,19.5874,262.05,4.6433
1950,146.9852,8.4219,20.1169,271.19,1.6266
1951,144.7773,7.3026,20.3603,265.82,1.235
1952,144.9704,6.8696,20.7835,259.69,0.9276
1953,142.5658,6.3639,19.2252,253.69,0.4582
1954,146.2204,6.1566,19.8447,240.56,0.6561
1955,149.5365,6.4661,20.4992,257.68,1.1464
1956,150.7781,5.4764,21.4481,283.96,1.5973
1957,149.6414,5.5064,23.0294,301.95,1.8023
1958,145.7756,5.7759,23.1836,309.68,2.7124
1959,144.454,6.1406,23.2975,336.24,3.7972
1960,148.2804,6.4005,24.6052,364.23,3.5345
1961,151.6454,6.089,25.3084,402.81,3.4095
1962,155.9649,6.2997,25.7838,450.64,3.3103
1963,164.6627,6.3429,30.4722,538.29,3.0999
1964,166.6236,5.9664,33.0449,631.34,2.8948
1965,179.1723,5.7565,34.7431,764.26,3.8934
1966,195.365,5.3506,39.5544,973.75,3.386
1967,201.1184,5.2745,42.8566,1132.24,4.0281
1968,201.0779,5.2053,48.2523,1288.56,5.7966
1969,197.6042,5.0938,51.0165,1390.62,5.6483
1970,185.9012,4.9957,48.7204,1447.74,6.3393
1971,180.7751,4.8223,48.1352,1458.01,6.5091
1972,170.1785,4.7327,50.0726,1467.46,5.7708
1973,152.2582,4.6031,48.3721,1372.73,6.7259
1974,140.5655,4.3641,48.6691,1333.41,6.4307
1975,134.6238,4.5567,47.7148,1310.04,5.0717
1976,131.5955,3.7725,49.774,1299.88,5.343
1977,130.9441,3.657,52.2079,1278.86,4.9025
1978,127.8053,3.7638,53.3812,1288.2,5.0701
1979,127.641,3.6662,53.7901,1274.54,4.2411
1980,125.0369,3.6408,53.6827,1278.58,2.9597
1981,121.4439,3.622,51.1886,1276.76,3.3849
1982,119.743,3.3989,47.8667,1242.76,3.7489
1983,117.0958,3.5267,43.8421,1241.03,3.3246
1984,117.5912,3.6913,40.5901,1229.03,3.1939
1985,116.0306,3.8487,37.9573,1190.47,3.2851
1986,113.6606,3.689,34.8359,1154.25,3.979
1987,110.2454,3.8195,35.1448,1117.84,4.9354
1988,109.2338,4.102,35.8001,1099.21,4.7966
1989,105.397,4.0734,35.2098,1033.27,4.0284
1990,101.4599,4.3475,35.4223,969.23,4.0231
1991,95.8739,4.1466,34.2817,943.82,4.6428
1992,92.7515,3.6736,34.9886,912.63,4.6243
1993,89.1508,3.4407,35.3885,887.94,4.7752
1994,88.5214,3.5345,34.3699,864.24,3.7351
1995,88.3784,3.2513,34.6169,822.56,3.5884
1996,86.3732,3.2341,33.978,815.22,3.3148
1997,86.4735,2.9892,33.3356,803.16,3.6522
1998,83.093,3.8013,33.6129,771.58,3.1506
1999,83.2749,3.9304,33.3127,784.04,2.9336
2000,82.2576,4.1297,32.5969,767.79,2.102
2001,80.7315,3.7164,31.013,757.84,2.5942
2002,77.9086,3.664,29.9995,740.32,2.1619
2003,75.9501,3.545,29.4038,754.25,2.5801
2004,73.0829,3.4638,29.2298,738.49,2.6965
2005,73.3343,2.6208,28.7004,741.08,3.331
2006,72.1824,3.1014,28.513,724.29,3.3537
2007,78.2608,3.2456,28.6099,729.4,3.1774
2008,79.1705,3.3217,29.7701,728.4,2.9162
2009,80.3884,3.31,29.3069,757.46,4.3062
2010,82.4848,3.3362,29.5629,732.49,4.3904
2011,83.8908,3.2909,29.3502,734.83,4.4867
2012,84.799,3.1463,29.0773,719.46,3.8274
2013,84.2299,2.6434,27.6492,711.62,4.0121
2014,76.179,2.2657,26.7393,695.9,4.478
2015,72.8105,2.7152,25.8017,662.82,4.2994
2016,68.0844,2.6462,24.8837,603.22,3.4681
2017,66.309,2.6956,24.6703,593.86,3.46
2018,63.8969,2.8318,24.0734,582.36,3.2636
2019,60.4476,3.0538,23.2047,561.74,3.2855
